"id","gender","age","agree1","agree2","agree3","often1","often2","open1","open2","other","multi"
25,"F",44,"Strongly Agree","Strongly Disagree","Strongly Agree","Often","Very Often","Parturient dictum consectetur orci orci, et. Sed lorem tempus lobortis velit sit dignissim. Donec, rhoncus elementum quis sed et, tempus feugiat eget vivamus. Suspendisse integer, enim nunc efficitur elit orci et. Nostra felis eu natoque finibus dapibus ultrices luctus, nunc commodo felis tempus sociosqu in nec. Hendrerit enim nullam diam. Penatibus in proin morbi, magna, habitant. Vel sed in ut ligula. Ante vitae.","Fermentum eget risus commodo fringilla urna molestie, aliquet elit porta. Sem est dis malesuada enim id tincidunt. Ipsum at cras suscipit sapien et ligula, purus. Et in, et conubia, cubilia ligula inceptos, vel lacus laoreet. Aptent sociosqu sed sed ipsum massa, nec leo velit. Dapibus dolor blandit, a non libero vulputate mi venenatis. Aptent felis nullam et nec. Gravida vel convallis rutrum fermentum dignissim tempor. Orci mollis inceptos, ac, ac. Nec odio quisque, consectetur urna nec in quis viverra in metus volutpat, consectetur amet suscipit fringilla. Rutrum sed ultrices volutpat. Id sed, magna imperdiet vitae maecenas vel. Velit duis et tellus ligula sed habitasse ligula luctus et orci cum sed. In suspendisse dui leo dui, ac, sem blandit curabitur vitae euismod. A maximus ac.","Strongly Disagree","CAN;MEX;UK"
26,"F",49,"Neither Agree or Disagree",NA,"Disagree","Rarely","Never","Mi vehicula erat conubia quisque nibh, magna faucibus, tincidunt. Accumsan egestas felis lacus eu ipsum vitae ipsum blandit in proin pretium. At a risus maximus maximus dui imperdiet ac vel tristique. Elit sed libero urna risus donec nam urna massa ridiculus! Dignissim quam sollicitudin erat mollis, platea quam, mauris. Orci quam mollis at metus elementum quam maximus porta nec nunc in ut. Amet eleifend sociosqu malesuada suscipit cursus mauris eget mauris mauris dui enim.","Iaculis iaculis nibh sed egestas auctor quam, pulvinar. Hac feugiat neque etiam, potenti litora potenti ut suscipit blandit. Suspendisse eu et eu, neque aenean in amet. Ligula nunc in posuere nulla sem ullamcorper nisl, commodo vestibulum. Pulvinar turpis rhoncus nisl, nibh maecenas sociosqu tellus iaculis et massa pellentesque quis vel. Nam id, consequat in senectus lectus, efficitur. Malesuada nisi habitasse senectus etiam.","B","US"
27,"F",18,"Strongly Agree","Strongly Agree","Strongly Agree","Often","Often","Ligula tristique ipsum, massa luctus, laoreet mattis egestas nam mi augue suspendisse. Diam lorem amet velit, in non elit tellus vel lorem et viverra quis elit morbi. In imperdiet, enim velit pellentesque lacus. In habitasse suspendisse neque odio vel at nec nisl quis. Pharetra ligula nisi aliquam placerat! Maximus dictum sed egestas at lacinia. Sed pulvinar vel, mauris dignissim ipsum urna ut sed feugiat dis in. Facilisis massa torquent vel condimentum ut. Lorem amet, quam mauris scelerisque aliquam in. Consectetur sem hendrerit in montes lobortis et magna finibus. Aliquam, aenean, sed pulvinar cras conubia eu. Phasellus erat adipiscing ligula cras in sit in laoreet.","Leo accumsan, nisl donec ut eu porttitor scelerisque et. Himenaeos, semper posuere etiam, ut proin. Odio congue vehicula nam, tincidunt penatibus tempor sem sed felis suscipit netus vivamus finibus sollicitudin. Eu litora nullam nostra nunc dis phasellus ut adipiscing magnis gravida enim pharetra. Ante pharetra volutpat ridiculus non vehicula a ut. Vestibulum habitasse et at. Donec dui, ipsum luctus elementum. Ligula eleifend scelerisque porttitor at ut, et. Tincidunt integer, eros in. Eu facilisi ut tempus leo. A pellentesque ornare platea, turpis vel, nulla.","Strongly Disagree",""
28,"F",53,"Strongly Disagree",NA,"Strongly Agree","Sometimes","Often","Maximus, et, imperdiet velit ipsum pellentesque magna, volutpat at, mus accumsan enim leo ac. In vel. Ridiculus sed adipiscing, mi augue ac, ornare mauris porttitor nisl vel. Ac lobortis nulla, sed scelerisque. Tortor condimentum aliquam magna dolor, eu et nunc dapibus porta. Cum pellentesque rhoncus iaculis sapien adipiscing scelerisque metus. Risus ad placerat dictumst vel, a. Maecenas, in vestibulum per primis turpis et nisl auctor sodales. Justo iaculis felis efficitur laoreet, potenti in cubilia. Integer vel nunc quis leo pharetra enim in sociosqu odio sagittis laoreet ex. Potenti consequat himenaeos ultricies suspendisse diam, volutpat in. Vehicula ipsum sed tempor iaculis mattis tempor felis nec.","A hac tempor metus blandit accumsan ut sed efficitur curae facilisis dapibus magnis sed. Vitae vulputate himenaeos vulputate fermentum, sit interdum dis torquent morbi. Non ut at dolor nam ac nunc vitae curabitur sit. Donec ligula pellentesque nisl in ridiculus at. Ultricies porttitor maximus aptent velit, sed et augue, risus. Cursus erat dapibus malesuada parturient egestas rhoncus ante magna, congue sed? Montes sed vitae maecenas. Mauris amet purus ut praesent dapibus et, morbi vitae ultricies litora. Aliquet ipsum tempor commodo, consectetur maecenas eu. Aliquam nostra in ridiculus enim.","Agree",""
29,"M",35,"Neither Agree or Disagree","Neither Agree or Disagree","Disagree","Never","Sometimes","Vestibulum id. Varius, quis cras! Velit sollicitudin gravida a ipsum quis velit natoque amet adipiscing. Sit in pulvinar massa finibus, tempus at laoreet consectetur. Nunc in eu ligula et sed tincidunt ultrices orci arcu vehicula. In netus elementum varius netus sollicitudin ac scelerisque eros neque nec leo. Justo sed facilisi eros maecenas nulla.","Dis conubia iaculis lectus platea cubilia ultrices in a finibus fringilla ligula. Non ligula in quam vitae at interdum interdum, est pellentesque. Lectus egestas scelerisque turpis in, non vivamus sem pharetra felis. Senectus ut iaculis nisl non. Dictumst, eu nulla pulvinar torquent dignissim convallis ante tincidunt ut sit sed. Semper sociis sed ante auctor metus cum. Nibh vel integer, vitae. Amet vitae proin metus vitae volutpat. Luctus montes, urna venenatis quam commodo fames nibh. Donec accumsan facilisis dictumst tempor, suspendisse nunc pretium facilisi. In hac taciti sodales enim tortor tristique mi. Volutpat sed molestie nunc per, amet enim. Lorem rhoncus erat, vestibulum quisque ut, vel etiam.","Neither Agree or Disagree","US"
30,"F",49,"Strongly Disagree","Neither Agree or Disagree","Strongly Disagree","Sometimes","Rarely","Efficitur egestas, nulla vitae mauris ac quisque urna nam eros. Erat sed ante consectetur lorem. Pellentesque vestibulum libero vitae ut ac, augue. Odio, taciti hac platea himenaeos amet platea, id nibh imperdiet pharetra, et, nulla. Tortor taciti aliquet id, vivamus ultrices. Mi enim ante nullam ex ad in nostra ut. Natoque vestibulum amet vel, ipsum felis sed. Quam augue in eget sed egestas dui pretium parturient. Nibh ad litora suspendisse, nascetur sed. Leo eleifend varius fermentum eu malesuada commodo posuere. Vulputate non, ullamcorper, orci, posuere semper sollicitudin pellentesque nunc. Nec felis viverra non fringilla lacinia.","Et finibus turpis et, purus luctus nisl sed. Nec justo etiam leo arcu hendrerit porta ridiculus odio mi. Augue odio ipsum purus pretium tellus pretium pretium ornare sed. Vivamus in nam consequat porttitor habitant auctor sed tincidunt, sed. Platea id consequat tempor, sollicitudin hac. Feugiat libero ac vel amet tempus adipiscing lobortis pharetra urna, ullamcorper egestas ultrices condimentum! Dapibus eget non? In lacus in. In integer sapien.","Agree","MEX;CAN;US"
31,"M",39,"Strongly Disagree","Strongly Agree","Strongly Agree","Often","Sometimes","Convallis quis feugiat aliquam, fringilla blandit erat est montes eros dolor! Vel risus iaculis, parturient. Augue cras erat turpis at augue ligula nisl in in eu phasellus elementum volutpat? Purus mi vivamus ornare velit maecenas mi vestibulum. Nascetur luctus nisi lorem hac suspendisse felis commodo felis. Fusce mattis et, lorem class eget. Sodales netus, maecenas at rutrum venenatis maecenas. Sed, sit mi in, eget.","Sociosqu scelerisque phasellus ac, at sed mi ex aenean donec lectus vitae, vitae. A commodo nunc aenean penatibus venenatis, sed sollicitudin neque urna sed dis. Eu consequat at nullam lacinia nec dolor luctus non quis augue habitasse. Non ante nam orci dis nec taciti. Pulvinar vehicula libero tincidunt mattis et ut nibh. Metus dictumst feugiat eros id aptent eu erat. A, magnis facilisis tempor, sit sapien semper netus. Sed cras magnis, nunc aliquet magnis, ullamcorper. Et blandit consectetur ante, semper imperdiet mauris et dignissim amet libero turpis, urna phasellus nisi diam fames. Congue interdum class vel nec nec, venenatis.","B",""
32,"M",54,"Neither Agree or Disagree","Strongly Disagree","Neither Agree or Disagree","Often","Rarely","Risus, dictum nec. Turpis, ornare sociosqu quam consequat. Volutpat sed lobortis parturient eleifend eu ac leo. Aptent sociis nisl netus vulputate donec fusce. In ut ut finibus amet eget aliquam quisque, magna velit efficitur. Nisl turpis ut felis pellentesque et aenean mollis. Id elementum turpis vel ut. Ex egestas ornare diam, dolor venenatis phasellus volutpat ipsum auctor. Eget quis potenti nec gravida turpis scelerisque orci molestie. Ac eros orci, tortor libero. Erat sem. Quam viverra quis nec commodo augue.","Dictum lacus ante. Curabitur blandit turpis vulputate dolor sociosqu ultrices at. Mattis hac platea non proin ut per, erat scelerisque morbi. Ullamcorper sed taciti lobortis duis fringilla urna. Sed dictumst, lacus et sed in condimentum sagittis nec nisi, et. Hendrerit, egestas et commodo nullam non arcu, fringilla. Purus turpis sed, et sem amet nascetur, cursus integer. Vitae tincidunt efficitur eu natoque venenatis sed urna ante ridiculus augue in. Natoque urna ac donec, tincidunt nulla. Habitant vulputate aliquam in.","Strongly Disagree",""
33,"M",63,"Strongly Agree","Disagree","Disagree","Often","Sometimes","Etiam non et eu turpis imperdiet pharetra eu. In porta elementum cubilia metus aenean, ut, sed justo tempus nisl cras. Integer, parturient nulla, fringilla rhoncus pharetra et lacus. In lorem sed neque in, eros faucibus leo egestas id. Arcu erat, in vestibulum vel vitae. Elit nunc metus purus varius et velit laoreet elit taciti mauris tellus lacinia ligula sit posuere. Fames, nullam mauris eu, eget vitae cum sed proin suscipit ipsum purus faucibus semper. Metus mauris nec nec, scelerisque nec vel in ac egestas. Aenean purus elit leo eu erat nullam adipiscing, nisl senectus parturient. Torquent posuere sed ante posuere, augue congue auctor convallis ac proin? Tempor nec mus himenaeos non quam ligula massa integer mauris. Vestibulum egestas himenaeos suscipit habitant tincidunt.","Facilisi egestas viverra tristique per. Aliquet tincidunt, velit, adipiscing. Metus malesuada. Fermentum erat pulvinar sed sed ultrices dui suscipit morbi ut? Taciti ut erat lorem et, magnis, dictum. In, tellus porttitor mi? Varius, arcu turpis tristique placerat. Non vestibulum ornare sed vitae ad aenean sociosqu et ad gravida amet. Elit eu platea sed nisl, lacinia. Suspendisse, velit est amet, tincidunt eu vestibulum volutpat.","Disagree","MEX"
34,"M",57,"Strongly Disagree","Agree","Strongly Agree","Never","Often","Mauris nec, ex maximus eleifend. Torquent enim malesuada ac ligula a laoreet tincidunt non magnis. Pulvinar commodo tempor, quis cursus tincidunt non ex egestas odio. Non lacus mauris quis bibendum montes sapien aliquam. Dolor netus, elementum. Non, hac vitae, dui maecenas ipsum auctor fusce, sociosqu. Eget sed molestie sapien convallis, sodales in sed. Congue in, nulla blandit odio egestas at. Mus mattis feugiat imperdiet aliquet risus egestas turpis suspendisse nibh vestibulum class. Urna dictum ultricies ipsum tincidunt auctor. Amet, tortor malesuada velit porttitor massa, sed feugiat. Duis odio nostra inceptos eu. Mollis, vehicula penatibus in id fermentum, velit sed praesent inceptos.","Sit eu lobortis maecenas pharetra dolor nascetur arcu dapibus conubia in nulla ante. Quis aliquam et mattis gravida dui porttitor risus nisi non elementum ullamcorper dui orci nec, senectus. Vestibulum quis suscipit ultricies fusce diam eu vel ad mauris nibh nec? Porttitor amet ante non ipsum. Maecenas in imperdiet, eros litora at arcu. Ac, sed auctor, ante. Ac in eget neque. Ac eget dis in interdum libero sodales nibh integer a at cum sed. In vitae erat mollis nibh tempor tortor nisl ut. Scelerisque tempor, sed, mollis at facilisi nisl class hendrerit. Turpis ut auctor sed porta nulla.","B","MEX;CAN;US"
35,"M",62,"Strongly Disagree","Neither Agree or Disagree","Neither Agree or Disagree","Very Often","Rarely","Eget sed sit augue, parturient turpis vestibulum egestas. Ligula sit sem! Consectetur donec et sit metus magna lectus maximus ultrices. Placerat venenatis ut vitae commodo aliquet, pellentesque pellentesque tellus. Etiam facilisis, felis malesuada libero enim nibh vestibulum inceptos sed nunc, diam consequat nunc. Ligula potenti cras aptent nec, donec nulla nisi conubia ac. Primis non dolor. Non ligula ridiculus fames conubia. Dolor sit porta maecenas ipsum phasellus tempor sociosqu velit. Bibendum ac in quis consectetur ac ridiculus risus himenaeos ut.","Torquent ipsum risus libero turpis cras. Arcu, augue nibh ipsum eros cras phasellus egestas non. Nunc libero sed lacus conubia et sit eu enim mattis iaculis. Lobortis, diam non felis eget nisl, ut venenatis justo odio. Conubia volutpat facilisi in mi amet. Ornare, pellentesque pharetra ac sed nunc non non odio. Sed sapien eu ut sociosqu lacus semper aliquet pellentesque nunc. Ipsum, mauris eget, pretium lobortis ac tempor magna aliquet fames luctus pharetra nec iaculis sed curabitur. At in integer senectus, volutpat sed, nibh nascetur, ipsum morbi nulla.","Strongly Disagree","CAN;US;MEX"
36,"M",51,"Strongly Agree","Strongly Disagree","Disagree","Very Often","Often","Sociosqu condimentum eu dignissim dignissim eros. Ac ante tellus lectus leo convallis elementum, cubilia ut sed. Cursus leo sapien posuere proin erat nec, netus montes volutpat. Elit purus est, lectus dictum justo nam id, praesent. Adipiscing venenatis faucibus. Sagittis morbi cubilia lorem aliquam turpis. Commodo at, amet condimentum luctus varius magna in tortor hendrerit. Sagittis eros eget finibus nisi potenti quam lobortis quam. Erat metus ut praesent sit sed porta. Orci, est per nam nullam vestibulum fames! Blandit ullamcorper nisi in velit aliquam turpis himenaeos placerat, dis sed. Vel sed sociis nibh sit.","Eget pellentesque consequat, ac tincidunt ut dui sed. Integer, consequat quisque augue et a lacinia a in pretium. Nunc class. Tortor nisi ipsum amet, facilisis ipsum non! Posuere sed netus morbi habitasse, vitae varius, lectus commodo, class venenatis. Duis vitae libero ac ac dapibus sed mattis viverra urna sit id. Feugiat himenaeos pretium in at ullamcorper varius at at dapibus. Est consectetur pellentesque urna nisi. Nisl gravida, interdum, venenatis cum ut turpis per sit. Praesent, eu sed ut euismod accumsan purus curae.","Agree","US;CAN;UK"
37,"M",42,"Strongly Disagree","Neither Agree or Disagree","Strongly Disagree","Sometimes","Never","Sit, platea ac bibendum id vehicula. Bibendum lacus volutpat mauris faucibus venenatis lacus. Eu eu ligula. Nec vitae taciti a magna. Sollicitudin nunc ornare litora dapibus ut quam. Vehicula ornare congue. Tellus sed nibh leo justo scelerisque ut at tortor amet fames ullamcorper massa elementum. Phasellus, vel sem sed hendrerit ut amet sociis, ut. Eros adipiscing efficitur condimentum viverra ligula pellentesque erat ut phasellus sed risus facilisis elit. Ante velit ligula dapibus, consectetur libero gravida, in aptent, eget at.","Metus, vulputate faucibus erat ut, sem aenean faucibus quis eu. Pellentesque sed eleifend rutrum. Ante turpis sodales eget eu mauris praesent vestibulum. Sed cras in eget in ante eros inceptos aliquam. Augue sed phasellus dolor. Leo himenaeos eget lorem. Nostra in faucibus dolor leo, sollicitudin ac. Blandit sociis eget sit diam magnis a senectus hendrerit. Finibus vehicula tempor tellus sed, orci mauris class enim ac nam quis. Vel maecenas cum, nisl diam enim et id, vestibulum. Sed leo conubia scelerisque sed egestas ridiculus. In elementum auctor mi ultricies nisi duis, dis velit dui maecenas. Quam eget amet tincidunt.","B","MEX;US;CAN"
38,"F",64,"Strongly Agree",NA,"Strongly Disagree","Sometimes","Sometimes","Mauris aenean tellus neque est ac turpis vel, nostra. Lorem viverra lorem ac lacinia est sociosqu sodales euismod magna amet. Integer odio gravida, eu nascetur. In sociosqu, vestibulum neque erat et. Lobortis ac quisque dapibus nunc, sed. Varius laoreet vel blandit at erat ultrices. Augue in nec vitae nulla orci sollicitudin, suspendisse lacus aenean ligula in. Sociosqu in sit diam himenaeos turpis taciti tellus massa massa, lacinia, diam. Amet in nisl at lacinia pretium, felis et. Ac pharetra porta suspendisse ad rhoncus elit turpis mauris aliquet. Tempus sed nunc arcu potenti molestie ac eu ullamcorper cras eros ut sed eleifend ullamcorper. Egestas id tempor tristique pellentesque ipsum, est lobortis ridiculus natoque vivamus eleifend. Et vestibulum sed ex, in, lacus magna, lacus nulla ac. Inceptos eu libero quis, egestas vivamus sit non convallis et, conubia.","Suspendisse aliquet ligula habitant potenti est nullam. Magnis porttitor sit ante aliquam fusce turpis dictum in ac molestie non potenti. Sagittis eget orci mus ante mauris metus elit tortor finibus sed. Duis taciti gravida consectetur sed vel dolor. Efficitur et in ut lobortis turpis et pulvinar. Tincidunt ac elit nunc velit dis vulputate convallis penatibus. Id imperdiet, ante iaculis taciti urna pellentesque sed. Mollis ut sed lacus orci nulla nibh turpis condimentum. Ac at, porta eu blandit sed est sed tellus nunc. Egestas non nunc ac venenatis, porttitor dignissim himenaeos. Vestibulum aliquam magna imperdiet ultrices pellentesque nulla ad. Vestibulum non eget sed quis ultricies non vitae convallis.","Agree","CAN;UK;MEX"
39,"F",51,"Agree","Agree","Agree","Often","Often","Duis elementum sed vivamus. Nulla volutpat fusce posuere sed cubilia a. Scelerisque lacinia in mauris in ligula rutrum blandit, ut. Curae ornare non libero, at mi eget ac. Finibus malesuada vitae, dis. Ac etiam, turpis, nunc. Donec velit volutpat condimentum blandit platea sed et, sed mollis. Porta dolor a massa lectus purus. Sem nulla nisl dapibus pellentesque euismod gravida, venenatis lacinia.","Eros, at, cras mollis. Lectus venenatis imperdiet ante sit sit viverra. Nisi cursus faucibus turpis sollicitudin neque cras eu sed sed nisi. Luctus in, scelerisque fames class curae. Ultricies faucibus ipsum sit sed nisi bibendum scelerisque suscipit morbi est et. Mus lorem sed donec ligula, egestas sodales, nunc. A malesuada ac ligula auctor. Lacus consectetur. Proin eu venenatis nibh eget etiam quis praesent, libero amet.","Strongly Disagree","MEX"
40,"F",38,"Strongly Disagree",NA,"Disagree","Never","Never","Dui malesuada nulla lacus lorem? Ornare neque lorem pulvinar. Tincidunt, urna sem hac sagittis in. Leo, nisl egestas at finibus dictum diam sed aptent consequat. Curabitur mauris lorem faucibus libero, viverra arcu elit. Sed ultrices, leo metus dolor, et in porttitor fringilla ligula vel. Ut ut sit enim sed ut sed scelerisque, pulvinar nunc libero. Posuere in mi ac turpis nunc arcu laoreet. Dapibus ad tristique facilisi egestas mollis sagittis adipiscing suspendisse porttitor leo. Ex augue ligula et tincidunt eu, feugiat sit nec ac.","Proin netus duis, faucibus etiam. Auctor ac arcu aliquam iaculis tempor cras lacinia nisl amet. Egestas, arcu eleifend. Sit quam varius nam cum ultricies blandit, vestibulum nisi ac nisl pulvinar. Ipsum duis himenaeos nunc sit et fames eros pellentesque, venenatis lobortis ac ex fames maecenas. Quis sapien non arcu, condimentum in dui sed quis. Praesent ut sed phasellus dui, dolor leo luctus molestie in.","B","UK"
41,"F",61,"Disagree","Strongly Disagree","Strongly Agree","Very Often","Sometimes","Turpis in ex ex, in venenatis est nisi. Sapien risus duis quis sed class at eu ipsum ut nisl. Maximus netus volutpat pellentesque ut natoque in non. Sed quam ex posuere dictum ipsum. Vitae finibus class, molestie eu porttitor nunc class egestas at nec turpis habitasse ultrices suspendisse fringilla. In tortor sit duis aliquam, aliquam maximus neque. Consequat blandit commodo ornare torquent sed. Magna, eget ipsum in aptent egestas, pharetra sem dapibus, vel tempor. Vel non sed mattis. Pretium sit vel efficitur nunc, adipiscing, odio maximus at. Egestas turpis, bibendum, mollis congue non, feugiat. Volutpat sed, penatibus eu semper dapibus. Vestibulum magna mi, sem ante diam ac sed, bibendum, quis. Dolor nisi dis mauris venenatis vitae torquent, cum malesuada primis. Eu in ante urna gravida non, ex. Massa ut eleifend aliquam donec eleifend id vitae cursus ipsum.","Potenti sed sed sapien nec volutpat eu? Eu, nisi sed mauris laoreet. Lacus pretium faucibus erat, risus nibh etiam mauris luctus vel. Massa sociis feugiat nulla fringilla aptent viverra nulla dui ac non, vestibulum elit. Purus viverra netus lacus in, vel natoque fringilla et, sed vehicula. In eu, eu nulla sed est felis sed et ligula ut ac nam ipsum eget platea. Eget ac lacus magnis commodo in, dui. Dictum, rhoncus quam aliquam ut duis aliquam magna. Varius vel elit risus sagittis faucibus vestibulum eu parturient in at.","Strongly Disagree","CAN"
42,"F",20,"Agree","Agree","Strongly Disagree","Very Often","Often","Sem ultricies volutpat. Vitae sociosqu torquent ornare in tristique, semper tempus fermentum. Morbi, nam orci, nulla erat accumsan erat, vel. Nunc nulla, ante, lobortis augue ut nam accumsan. Dolor sed tellus eros himenaeos senectus aliquet. Mauris eleifend mauris sociosqu facilisi consequat rutrum. Leo etiam quis cum non cras nisl sed nunc torquent. Fermentum, eu finibus urna at sed ad. Sed in at et leo lacus vivamus eros non sed in tincidunt enim. Odio egestas sociosqu. Lacinia arcu nisl sed magnis aptent, euismod habitasse. In fames rutrum sed, vulputate sapien dolor tortor a. Fermentum, mi at maximus.","Fringilla ut lacinia tempor per dis. Eros ut convallis aliquet cum senectus amet, aliquam lacinia ullamcorper conubia. Pellentesque mi egestas sed habitasse mauris. Non elementum vel nascetur. A risus, viverra quis, parturient at pellentesque. Sed posuere turpis eu ad ac at neque placerat laoreet, ante risus velit hendrerit, sed sollicitudin. Aliquam etiam vitae arcu iaculis lectus consectetur nisi. Sit erat a dignissim in, ridiculus nulla quam. Turpis in sem eros eu quam, ultrices senectus senectus et nisl! Sodales consequat in ligula, porta placerat sagittis. Nostra porta diam, pulvinar elit class tincidunt dictumst, duis? Gravida mauris neque pellentesque taciti nec. Natoque sed fringilla. Porttitor diam ipsum congue netus libero velit natoque in praesent ex in nec eros.","Disagree","CAN"
43,"M",21,"Strongly Disagree",NA,"Neither Agree or Disagree","Often","Never","Ornare tristique lobortis accumsan. Platea, dis enim tellus. Eu quisque in metus dictum commodo egestas nunc eu consectetur enim interdum. Tempus leo malesuada hac felis. Accumsan viverra lorem donec natoque placerat, congue tortor curabitur! Et, amet a consequat nascetur parturient. Ac ipsum conubia vestibulum commodo nam quis suspendisse, eleifend in gravida. Ac vehicula sed nec venenatis, cubilia sit montes sed quisque. Felis gravida sed sed in sociis ac quis. Odio ut sed a, elit, pellentesque sit semper magna quam metus montes.","Laoreet sit massa ipsum nunc. Nunc et fames lorem quis. At non augue parturient lectus eros. Nisi porta non rhoncus sed vitae nam, ut in in. Eget ante sed, luctus habitant fermentum scelerisque. Vitae in ac aliquam eget, accumsan. Nulla adipiscing id ut pellentesque, sociis erat aliquam integer, litora mattis. Nisl, ligula sociosqu accumsan. Ante libero, augue eu sed nam mauris.","Neither Agree or Disagree","UK;US"
44,"F",45,"Strongly Disagree","Strongly Agree","Strongly Disagree","Sometimes","Often","Pretium vestibulum tristique ante ultricies et mattis velit nullam sed dapibus sed vestibulum, magna. A nostra cubilia nulla vestibulum. Odio eget eget ante vitae orci ultricies libero. Dui curae turpis ac sed sed lectus nisl odio purus risus. Felis ante vitae taciti, vel. Est sit accumsan metus quisque lorem et id nostra vel, etiam. Non quis sed nunc ipsum est sapien. Erat rhoncus integer arcu ullamcorper, dui pulvinar ipsum. Orci luctus mauris, aliquam ac maecenas, imperdiet pulvinar placerat. Aptent litora dolor, pharetra et, magnis porta ex. Ullamcorper nibh feugiat quam commodo magnis. Vestibulum ex dis a nam! Amet in, eros class ultrices lorem dapibus leo.","Tempor consectetur at sed turpis pulvinar amet rhoncus montes. Lectus semper scelerisque, in elementum vitae, mus libero. Bibendum velit sociis dapibus pulvinar. Inceptos efficitur semper dignissim, enim odio maecenas iaculis torquent eros sed egestas. In velit convallis semper porta nullam, tincidunt, non. Rutrum vel conubia eleifend vestibulum. At in, sed maximus suscipit tincidunt a id mus eu, at. Conubia, quis condimentum lacus senectus amet purus non. Turpis ipsum dui leo a, pretium et integer efficitur, ut ex, facilisi habitant. Ultricies tellus in velit turpis libero. Proin tincidunt nibh montes, sodales, id facilisis quis. Risus cursus sodales vestibulum ut amet mollis sapien diam amet. At neque in, nibh. Donec, eget sit ridiculus commodo id purus curabitur montes nec.","Strongly Agree","UK;US"
45,"M",35,"Agree","Disagree","Neither Agree or Disagree","Often","Never","Suspendisse ut nec nam, aliquet. Diam fames nulla commodo sed, nulla ante ut. Volutpat mauris adipiscing ut. Ut nec suscipit molestie, quis placerat efficitur mus dis. Tempor dolor felis et. Viverra eros, vel ut, posuere dolor orci id sapien sem. Non velit cursus ut auctor quis accumsan sed, turpis ante nec ut tempor velit consectetur litora porta. Ex vitae conubia et netus habitant. Sed felis congue, euismod diam euismod neque sociosqu leo? Inceptos eu sollicitudin etiam neque porttitor accumsan euismod risus. Iaculis cras, cum natoque enim mauris hendrerit commodo.","Bibendum ante metus, gravida. Erat et commodo nunc suspendisse sagittis morbi, tincidunt lacinia eu et eu. Phasellus netus nisl elit egestas enim id non ut. Curabitur sem sodales porttitor libero sed velit molestie ridiculus enim, orci porttitor. Sed ad conubia pellentesque condimentum erat sed, sit pellentesque. Praesent sollicitudin eros eu vulputate fermentum efficitur. Elementum arcu efficitur. Metus lacinia.","Strongly Agree","MEX;CAN;US"
46,"F",45,"Disagree","Agree","Disagree","Rarely","Never","Egestas tristique, vestibulum sapien at sed nec sed phasellus. Posuere eu per nisi, augue lacinia nunc efficitur. Eu lorem a velit non et mauris penatibus eget fermentum tortor. Dolor morbi velit volutpat lacus parturient ac, dui facilisis rhoncus duis pellentesque viverra. Bibendum sit sed potenti est sed blandit amet leo lectus orci et in. Duis rhoncus habitant mi phasellus ultrices eu blandit non tempor. Luctus tristique scelerisque sed taciti himenaeos. Sapien arcu conubia, augue, netus vehicula amet a imperdiet. Sed sapien tincidunt nisi, parturient. Nisi suscipit lectus, eros suscipit massa donec molestie.","Eros sed laoreet vestibulum? Mattis accumsan pellentesque taciti pretium velit vitae. Sed nunc quisque nec pellentesque ac quis, erat dui. Risus duis in, proin scelerisque congue montes. Mi at quis porttitor facilisi massa, eu lorem aliquet tempus. Lectus odio cum libero amet velit dictumst sit arcu malesuada. In dolor sit lacinia penatibus, in fermentum adipiscing lobortis in velit. Montes porta, tincidunt bibendum litora. Et, sed velit non ridiculus risus fusce. Eleifend magna rutrum facilisi quisque. Arcu consectetur, maximus risus enim! Commodo interdum id quis, tellus a ante arcu donec.","Strongly Disagree",""
47,"M",44,"Strongly Agree","Agree","Disagree","Rarely","Very Often","Amet vitae curabitur inceptos phasellus, neque in parturient. Consectetur sapien suspendisse fermentum, laoreet nulla, dis pharetra ac ultrices vehicula lacus aenean, porttitor. A in dui, placerat, nulla cursus odio. Ut consequat non facilisi vel consequat. Sollicitudin tristique urna nascetur nostra pellentesque hac. Ac facilisi vel potenti laoreet euismod. Ut turpis egestas malesuada amet sed turpis sed, ligula non justo ac. Nunc vitae, eros vel. Finibus phasellus porttitor non vitae. Netus parturient id montes gravida lorem sed quis class, ac. Mi nec vestibulum nostra consectetur integer bibendum euismod vehicula.","Dis nam velit non sed a varius eu justo in. Molestie feugiat et dui aenean ac, ac tellus. Sit erat neque leo et orci eu ante sollicitudin dolor, ante ut. Sit sed condimentum sit volutpat non taciti justo. Pulvinar vestibulum, posuere lacinia himenaeos aliquam vel sed ridiculus urna sapien cum dictumst. Himenaeos, sed vehicula? Auctor donec magna lorem congue vel sed imperdiet id. Natoque sit urna habitasse et sollicitudin. Ullamcorper habitasse ut dictumst aliquam dolor sed primis tristique congue in auctor amet, et fermentum vestibulum suscipit maecenas. Ligula ridiculus a eros tempus ligula, eu, vehicula fames. Auctor, eget.","A","MEX;CAN;US"
