"id","gender","age","agree1","agree2","agree3","often1","often2","open1","open2","other","multi","factor"
24,"M",37,"Disagree",NA,"Agree","Never","Never","Id praesent sodales ac eu aliquet in sodales eu egestas erat. Pellentesque conubia proin pulvinar nec, est ipsum vestibulum. Tempus pellentesque ac dis ornare ex et auctor scelerisque. A ornare rhoncus ultricies suscipit lobortis amet, ut mi! Ullamcorper lectus tempor, elit aliquet montes finibus a curabitur primis. Id, turpis felis augue arcu amet mi egestas. Velit orci, justo et dignissim rhoncus in. Purus malesuada sed amet mus fusce penatibus urna. Vestibulum ullamcorper, in congue facilisis egestas mus.","Massa penatibus montes mauris donec, sed mattis, sociis quis in. Magnis, nulla tortor vestibulum platea sed eleifend aliquam metus. Inceptos quisque vitae sed aliquam et sit purus massa accumsan. Cras nisl ut sed mauris. Mi ut phasellus, interdum pellentesque habitasse pellentesque. Dictumst taciti, nam quis, sed. Justo non purus, vestibulum torquent sed justo varius velit a velit et. Nostra ridiculus, ridiculus, non et eu non curabitur mattis tellus. Massa fringilla ligula ac ut at, placerat senectus sed eu interdum. Mollis neque diam dui tempus aptent tempor mollis, sed. Lectus leo eu sapien sed. Sollicitudin mus ut.","Strongly Disagree","US","opt5"
25,"M",49,"Strongly Disagree","Strongly Agree","Agree","Sometimes","Rarely","Vivamus urna dis purus mauris finibus sed senectus? Eu rhoncus natoque, sapien consectetur molestie aliquam ac egestas sit bibendum. Senectus, amet ornare luctus quis nisi. Accumsan ac leo egestas ut erat viverra et. Rhoncus, in mauris nam, accumsan habitasse aenean in condimentum. Commodo magna nisi, fusce, montes, quisque, euismod vitae neque fringilla. Finibus etiam feugiat viverra tellus, sodales tellus pharetra. Dui ultrices tempor dui. Conubia id mauris aenean magnis litora nullam. Nec erat sed, consectetur tortor arcu ultrices in, in. Feugiat nostra sit class et consectetur lobortis ullamcorper. Sed ultricies interdum velit.","Nunc fames, ac rhoncus urna sit ac class. Mauris magnis, ac mauris quis. Purus phasellus sapien potenti fames ex nibh sed pretium justo sed ultricies cursus nam. Volutpat accumsan massa tristique odio molestie ac. Vitae parturient congue himenaeos ac sed? Pulvinar rutrum duis in. Lorem ornare tristique, dignissim, ut dolor tristique. Tempus sed sed cras ullamcorper nascetur purus lacus ac. Tellus nec tempus inceptos felis potenti aptent sed. Mi nam massa enim sed. Amet mi nisi justo libero pharetra quam. Sed nisi nec, in et dui in cras.","B","","opt5"
26,"M",49,"Neither Agree or Disagree","Neither Agree or Disagree","Strongly Disagree","Never","Very Often","Blandit habitant ac in non sed, orci porttitor quis dui posuere mollis. Ac pharetra senectus, velit praesent, ut tristique, euismod semper ac vivamus convallis vitae tincidunt mattis. Facilisis aliquam nibh urna eget sem rutrum. Luctus luctus eros, vitae dignissim, commodo et id. Pellentesque nibh, purus vitae, at. Adipiscing sed conubia. Non eleifend lobortis gravida lobortis mauris eleifend felis sit. Placerat et, blandit dolor quis nec pharetra et. In proin potenti elementum et urna nulla pharetra erat pharetra. Parturient diam ad arcu aenean porttitor ligula curabitur ultricies nunc nec aliquam. Mauris ut scelerisque purus magna aliquam quisque mattis. Integer gravida potenti sit torquent felis? In velit praesent blandit sociis nec. Nulla, nunc torquent inceptos laoreet leo eget ac sed erat magna. Aliquam leo turpis. Quam, sed pellentesque mus lacus, a cubilia sed.","Sit nisl, varius feugiat duis, magna, sed ut torquent diam. Proin faucibus non mauris lacinia cursus et. Velit consequat ligula penatibus integer. Mauris tortor sem est, mauris, rutrum dictum id eu. Inceptos adipiscing luctus in sit aliquam, nulla lacus. Tempus fames porta justo vestibulum enim quis. Tincidunt sed donec lacus mus varius eu interdum sed sed aliquet. Est metus conubia facilisi mauris non eu maximus. Pharetra ac egestas eu luctus. Primis, ac dictum congue ante ligula. Sed libero nec est ut vel quis, fermentum.","Strongly Agree","US;UK","opt5"
27,"F",44,"Strongly Disagree","Strongly Agree","Disagree","Often","Sometimes","Ac duis, mollis enim praesent in. Nulla ut, non primis, pretium aliquam, sed consectetur felis. Ac mattis sed. Convallis placerat facilisis amet dolor sed interdum nostra vehicula amet. Nec vehicula suspendisse. In, sed pharetra eu finibus sed sed turpis mauris per sagittis auctor urna. Iaculis ullamcorper nec ullamcorper morbi in.","Feugiat felis iaculis donec, in gravida erat. Ut, facilisis dis leo nibh ut fermentum malesuada tellus. Himenaeos senectus turpis sit porta eros lectus, arcu. Nulla egestas sed ut consequat vitae. Semper a amet sed. Tortor sapien amet aliquam a, at tristique magnis? Eu, vitae, facilisis taciti pulvinar phasellus convallis ad viverra ac libero. Ut quisque etiam class nulla facilisi sem feugiat quam faucibus, augue.","A","CAN","opt3"
28,"M",63,"Disagree","Strongly Agree","Agree","Rarely","Rarely","Ac velit tincidunt inceptos et fermentum donec velit. Condimentum nullam viverra, sodales. Habitasse ac et platea scelerisque tincidunt iaculis. Nisl felis lorem mauris nulla. Eget ut senectus posuere gravida tortor, purus suspendisse. In sapien sed nullam, mauris ut in ligula, torquent sapien. Cras tellus enim integer aliquam mattis nec aptent. Condimentum erat curabitur eget egestas senectus in efficitur. Ipsum velit, luctus vitae a varius pharetra nec. Fringilla blandit sed, lacus. Hac potenti felis sed eget nam taciti aliquam pharetra mi vel ac. Rhoncus in suspendisse quis taciti vitae, non mi. Ut vel nec bibendum, sed. Quam amet neque ridiculus nulla pellentesque consectetur mi facilisis.","Nunc luctus torquent platea nec, magna et a, sapien non. Nunc ligula tincidunt suspendisse per. Primis phasellus, dapibus, tortor pulvinar mus a at convallis. Ex habitant nulla et in. Duis potenti iaculis id blandit sodales fringilla dolor. Accumsan interdum. Facilisis sapien non maximus, et ex dolor potenti eu a et. Vel, mauris odio et leo metus quis pulvinar ullamcorper id ac.","Disagree","CAN","opt3"
29,"M",64,"Agree","Disagree","Strongly Disagree","Often","Often","Egestas curabitur tristique fermentum nibh a leo ex id non. Quis quis maximus euismod proin himenaeos sed congue. Suspendisse eleifend ligula et, augue imperdiet class nibh, ac sit curae eu. Porta dictum, per luctus ac lobortis phasellus sit lacinia molestie quam vitae pellentesque. Habitasse et nisi cubilia auctor facilisis natoque placerat class a fringilla. Pulvinar orci tristique vivamus nunc elementum ut vehicula, augue eu diam purus mollis. Placerat sed in at nibh. Sed sed sagittis ut convallis mauris iaculis aliquet natoque. Felis, luctus non habitant felis odio, eros sapien nec. Pretium duis varius mauris ex consequat vulputate, et quam in. Neque sem. Consectetur, volutpat pellentesque varius enim et egestas sit lorem vivamus quis etiam consequat.","Sodales tellus aptent quisque volutpat aenean curabitur nisl egestas. Vulputate in eros ac viverra enim massa in in mattis class consectetur. Ac in pharetra eu nibh elementum odio class posuere. Feugiat tortor eget lobortis, sit ac sed quam lobortis lacinia aliquet. Leo justo, adipiscing ipsum varius leo sed rhoncus suspendisse. Et pharetra ut consequat duis. Non inceptos dictum sed, ipsum nullam sociis felis tincidunt. In, leo tristique non pellentesque. Pellentesque eu parturient, dictum faucibus dignissim. Vestibulum augue, potenti et odio duis tempus. Class, aliquam molestie, bibendum, ut massa ac.","A","MEX","opt4"
30,"M",54,"Neither Agree or Disagree","Neither Agree or Disagree","Agree","Never","Sometimes","Vivamus pulvinar, ante enim mauris, turpis egestas et rhoncus pellentesque. Dolor sed egestas egestas erat blandit leo ornare nibh lectus velit a tempus. Sed pellentesque nulla sagittis suspendisse, purus metus senectus, risus primis aptent? Dapibus eu laoreet tellus scelerisque auctor eros. Vitae eget suscipit et, senectus tempor efficitur in eget eros eget, eu potenti. Nunc, nostra parturient non, aliquet nisl nulla ac risus congue maecenas lacinia. Conubia fermentum, neque dapibus justo dictum malesuada in iaculis magnis. Montes vivamus sem eu. Quam felis mollis ultricies vestibulum netus ut facilisi augue netus sodales sapien proin.","Ipsum, nisi, euismod, dui nec risus dis sed orci leo. Suscipit eleifend porttitor tortor netus mi sed. Lorem, nec tincidunt habitasse est tempus. Pellentesque senectus penatibus diam id fermentum donec tortor habitant. Lacus vestibulum, id in arcu. Imperdiet ultrices suscipit et arcu in dolor fringilla, in. Vitae cum tincidunt massa nunc faucibus. Senectus elementum, ligula ultricies congue odio sed vel dui accumsan, parturient phasellus. Elementum penatibus per sit, ultricies. Libero blandit metus, integer vel natoque cursus vel per, erat nam leo ligula elit. Mauris risus mus iaculis, in curabitur. Diam faucibus per tristique, justo. Faucibus sed, id amet vel malesuada interdum condimentum etiam fermentum suscipit mauris vel. Velit arcu pulvinar. Tempor semper pretium volutpat, augue vulputate vestibulum magnis non pulvinar.","Disagree","MEX;US","opt1"
31,"M",33,"Neither Agree or Disagree","Strongly Agree","Strongly Agree","Often","Often","Eleifend, ipsum ipsum rutrum rhoncus. Sapien class pellentesque diam sit dui egestas. Vel accumsan quam lacus dolor, quis pellentesque vel non justo pulvinar habitasse. Accumsan, mollis id sed vestibulum elementum in habitasse eleifend. Blandit cum ligula ligula varius natoque morbi eleifend parturient ut a vitae, nec? Est dictum sodales sed gravida enim mollis. Etiam sociosqu, magna, metus. Eu ut auctor, euismod lacus justo ac in nascetur lobortis. Nibh aenean nam, sem in scelerisque at aenean. Et quam ligula hac donec, curabitur porttitor, est id rutrum. Vivamus lorem posuere feugiat sem ac faucibus. Donec eros vestibulum cursus, et faucibus mi. Hendrerit senectus tempus eu ac, cras lectus sodales. Sit varius felis vitae sed pulvinar consequat class.","Morbi ligula torquent orci. Ullamcorper ac mauris mi tortor aliquam. Erat dolor semper nulla pellentesque lorem sed nascetur netus. Ac risus et, nibh himenaeos. Elementum ut urna consectetur dapibus quis magnis, ut nec, rutrum, fusce feugiat. Vestibulum nisl ultrices quisque. Platea euismod convallis nec, sagittis ligula pellentesque montes sed mollis lobortis porta.","A","CAN","opt3"
32,"F",63,"Agree","Agree","Disagree","Rarely","Often","Ligula, at mauris sagittis felis, fermentum sed. Ad erat himenaeos aptent ut accumsan. Orci inceptos, at mollis maximus erat porta. Nulla vehicula integer commodo ex aenean, conubia varius dui ante. Auctor porttitor eros vitae porttitor sagittis, sem ac quam. Ligula nisl cubilia quis purus! Dapibus eget lacus bibendum, ligula in, congue. Lacinia nullam mollis. Condimentum in sed odio in quis sed a mauris quam at leo. Quam hac in dictum facilisis ac metus ligula etiam non porta feugiat mi. Et vitae condimentum penatibus pellentesque et amet natoque elit nam. Quam class nec conubia sociis sem commodo bibendum pulvinar amet pulvinar. Dapibus sed iaculis suscipit sapien ante facilisi gravida vel sed. Posuere diam est nunc. Dui quam metus magna et et, praesent non, lorem. Laoreet mauris quis suspendisse in in egestas aliquet in pellentesque justo erat. Tincidunt nibh malesuada curae velit porta tincidunt mauris enim in sed taciti. Quis, litora.","Placerat per maximus in vitae sed malesuada aptent ad magna lectus egestas. Est aenean diam massa tincidunt parturient ipsum quisque at. Fringilla phasellus porttitor nisl vulputate erat tristique litora. Potenti quis non pellentesque sapien curabitur. Metus mus etiam nec eu parturient. Venenatis nibh viverra, et elit porttitor varius sit donec amet, odio, primis elementum parturient metus, efficitur amet leo. Quisque elementum, quam purus, amet luctus, sagittis et. Augue turpis lacus nisl ante primis et mauris parturient bibendum pellentesque proin, ligula. In lectus bibendum convallis congue amet nascetur facilisis. Dolor aliquam torquent nunc pulvinar dictumst, fringilla primis. Quisque ut per nisi lacus mauris, egestas sed in. Nullam suspendisse. Diam neque nec posuere per sed pharetra tempor.","Disagree","CAN;MEX","opt1"
33,"F",28,"Agree",NA,"Agree","Sometimes","Very Often","Ac amet dapibus sed ligula conubia habitasse etiam lacinia nam sit. Nostra commodo egestas ipsum sit mi et proin posuere augue erat, porttitor. Metus maecenas lectus erat ac vitae, magna erat, ultrices. Vel, pulvinar in ut sollicitudin at felis sed sed fames faucibus in sed. Mauris non at dolor. Eu sit. Posuere nulla a non eu inceptos nibh! Sed tellus nullam cubilia suscipit lorem ut, venenatis in. Orci tortor nunc dolor morbi eget enim penatibus luctus.","Lacus vel phasellus himenaeos mi vitae sed ut conubia, molestie sed, sem? Erat imperdiet volutpat et quis placerat conubia platea himenaeos. Facilisis, ex metus placerat arcu consequat et. Libero convallis enim nostra himenaeos, orci tempor. Commodo tristique sed ornare nam eu pellentesque finibus, odio cursus. Tortor rhoncus congue in. Elementum non ac, amet id consectetur interdum nisl eros sit amet penatibus. Porttitor justo, nibh dui, rhoncus ac lacus porta rutrum maecenas volutpat. Interdum sed, suscipit fames eu aliquet ligula sed eu.","B","","opt2"
34,"F",47,"Agree","Disagree","Neither Agree or Disagree","Often","Never","Ac sed dictumst massa mollis purus suspendisse. Eleifend et parturient, augue leo felis cursus fringilla quam ullamcorper vestibulum ante nisi. In odio, torquent amet, porta a vivamus. Sed iaculis cubilia placerat. Sit metus amet nec tempor. Varius turpis sagittis sed. Maecenas egestas habitant ut efficitur tellus posuere sem facilisis, id nulla ornare. Id orci lectus, neque turpis nisl ultrices. Donec, non velit et quam, integer donec id, aliquet ac ipsum. Finibus est donec, tincidunt ut odio, blandit. Quisque nulla purus eleifend blandit non, condimentum sed dignissim.","Lobortis in dapibus in mollis sollicitudin, felis. Leo maximus pellentesque risus sed velit tellus. Lectus condimentum, egestas, ut, montes tincidunt sodales. Tristique tempor molestie ut id velit. Pellentesque leo arcu, id duis ac nibh elit. Eu condimentum nam, posuere magna penatibus nisl iaculis nisi hendrerit nunc tincidunt. Ipsum eu laoreet ut tincidunt phasellus sapien, et. A sit in habitant nibh ornare ridiculus consectetur. Lacus risus sit maximus ut porta adipiscing sit lectus suscipit nisl nec. Lobortis sed diam elit tempus. Tincidunt at venenatis cursus nostra ut. Aliquam vehicula scelerisque eros. Adipiscing cursus duis in dui purus sem ligula cursus. Feugiat efficitur metus vulputate faucibus. At finibus, ac hendrerit fringilla ultricies inceptos. Ullamcorper eros ut libero eget auctor, est class.","Disagree","","opt5"
35,"F",55,"Strongly Disagree","Strongly Agree","Strongly Agree","Never","Sometimes","Et et erat ut, donec tortor ad augue litora semper. Aptent quis accumsan himenaeos non interdum vitae ipsum purus lacus leo. Ante leo sociosqu donec sed massa tempor turpis vel eros a, in. Tempor ac quam taciti pellentesque auctor in. Vitae eget pellentesque nunc, dui fermentum. Quis, venenatis adipiscing erat orci donec massa senectus ultricies. Morbi ullamcorper nec lobortis euismod luctus amet eu. Porta elit tellus elit arcu placerat. Quis euismod cursus congue ridiculus convallis sociis. Etiam in arcu luctus, integer elementum maecenas ullamcorper. Ullamcorper nullam nisl laoreet mauris finibus in porttitor etiam. Luctus in vestibulum facilisis volutpat adipiscing eu, class, vestibulum. Ac lacus mauris. Nec inceptos ipsum tempor placerat viverra.","Dui at conubia at class. Dolor ut pellentesque purus risus dolor montes sed vivamus amet. Blandit posuere lacus, quis commodo vitae lorem mattis elementum. Sociis ultricies nulla ante eget in. Maecenas, mattis placerat eleifend vulputate. Metus libero nisi nec commodo nunc ac? Vestibulum auctor pretium venenatis ut. Egestas malesuada lacus hac iaculis fusce, consectetur id dictum. Curabitur tincidunt posuere amet gravida sem feugiat phasellus est posuere. Vitae urna sit feugiat lobortis lorem fringilla ex sit dictum tincidunt diam.","Agree","","opt5"
36,"F",41,"Strongly Agree","Agree","Strongly Agree","Sometimes","Never","Lacinia vehicula eget ut ut. Dis fusce, cras eros erat. Maximus adipiscing per lacinia, sodales nibh penatibus ipsum! Ac maecenas sed, a a, varius inceptos enim velit risus. Laoreet orci nec sociis, sed tempor ad. Primis etiam at nunc, ad morbi non. Ut sed, id lacinia hendrerit ornare tempus. Suspendisse augue conubia urna et justo at. Per duis, penatibus, eros praesent porta proin nisi, morbi, eget dignissim. Sed id a in, lobortis enim, nulla ornare.","Amet ut imperdiet interdum vel cras metus vel suscipit nisi. Blandit ut mollis litora nunc arcu feugiat pretium ad curae. Ex amet, orci leo purus vulputate. Duis a magna pharetra ex curabitur at. Efficitur purus dapibus curae hendrerit risus eget id aenean nostra. Ut curae gravida ut pharetra convallis sem. Ultricies, tempor ad nulla. Sapien amet ante sed. Etiam, cum quam sodales sit finibus, ultrices purus convallis vitae ut. Quis, magna et. Ipsum aenean placerat nec, leo sed sed donec.","Disagree","UK;MEX;US","opt2"
37,"M",43,"Strongly Agree",NA,"Strongly Disagree","Sometimes","Sometimes","Non nascetur. Lacinia enim dolor curabitur rhoncus ut turpis hendrerit nunc nascetur. Velit mi dis aliquet et. Laoreet nam vel iaculis enim pellentesque massa himenaeos, nisl est cum potenti. Class vitae turpis amet ante lorem efficitur sapien sed. Massa elit ut ac convallis. Fermentum sed praesent libero facilisis pellentesque eget tellus, ac. Sit sed erat amet montes erat donec netus.","In ut et sociosqu pellentesque tempus sem tempor. Hendrerit et pharetra. Risus scelerisque parturient efficitur urna in eros nostra venenatis ultricies, non penatibus. Odio ut dolor et in. Quis primis molestie, venenatis lobortis libero netus ut in praesent. A luctus id nisl nostra. Porttitor adipiscing tristique varius nisi nunc magnis massa morbi purus. Dignissim elementum in. Turpis in ac consequat bibendum ligula ut, montes ante.","B","UK;MEX","opt4"
38,"F",37,"Agree","Disagree","Strongly Disagree","Rarely","Very Often","Tempor sed sed habitasse enim ante eros. Diam facilisis, facilisi nascetur venenatis montes ut torquent facilisi, sed ante risus. Tortor dapibus dapibus nisi, vestibulum iaculis blandit volutpat metus neque sed. Potenti lacinia conubia est sit mollis sagittis platea facilisis. In tempus pellentesque et ligula, a dui aenean pharetra. Integer quis in, vitae velit. Cursus, sed eros ligula pharetra, augue nec litora at sapien! Dictum vitae vel nunc pellentesque tempus. Nulla tincidunt nibh eget ridiculus leo, ex tristique, sit viverra, in turpis tellus, in scelerisque sodales. Finibus ex nostra justo. Pellentesque dictum primis velit eget. Ligula vestibulum sed eu quam, leo in sagittis viverra, facilisi quam.","Nibh velit in himenaeos volutpat, et mollis convallis nec sit. Tincidunt, elementum, venenatis auctor elementum eros, consectetur libero nunc. Varius erat amet faucibus neque, semper consectetur aptent non. Risus nisl fusce cubilia enim nec erat ut. Sit et congue tincidunt. Tellus cursus interdum vestibulum at auctor, in. Litora primis rutrum, eleifend enim aptent commodo. Augue, laoreet sagittis mi nullam parturient dis. Vel parturient congue vivamus ligula in. Ut senectus convallis id suscipit habitant tempor mollis vestibulum, quam. Nascetur condimentum curae vestibulum, tristique sed posuere. Primis fusce eu! Sit velit sed fermentum rhoncus sed faucibus libero risus elementum sit. Sapien in ut purus nec rhoncus tincidunt egestas porttitor nisi sed etiam ultrices sed.","Neither Agree or Disagree","","opt4"
39,"M",20,"Agree","Strongly Agree","Strongly Disagree","Often","Often","Sociosqu massa, volutpat rutrum. Facilisi condimentum non. Enim at augue. Accumsan diam, amet cubilia aenean adipiscing dictum, blandit, venenatis primis eu. Ipsum id nascetur sed sagittis vitae. Torquent sed placerat et, suspendisse nec. Netus nec suscipit tellus, aptent ac ut aliquam neque. A, erat vel justo nam, iaculis luctus luctus tincidunt. Malesuada mattis tellus phasellus conubia, lorem commodo. Sagittis curabitur ante in est tristique at.","Vitae nisl sapien nisl fusce placerat ad mi euismod. In nulla in iaculis curabitur, ultricies fermentum sem velit dictum nunc. Dolor cubilia lectus, sed erat non tempor non elementum, elementum. Ipsum sollicitudin sed at turpis gravida pellentesque et. Pretium netus maximus ut. Placerat nec potenti, nibh condimentum blandit aliquam mauris. Class leo sem sed elit ut phasellus ultrices. Fermentum, dapibus mauris non sollicitudin, ipsum, amet congue.","Agree","UK;MEX;CAN","opt1"
40,"F",54,"Agree",NA,"Neither Agree or Disagree","Very Often","Never","Viverra, tellus amet, sed vel accumsan aliquam auctor. Convallis vel augue hac condimentum ac interdum leo netus. Et ullamcorper libero sed sed facilisi arcu ac. Leo faucibus orci dapibus felis duis. Ut sapien, tempor, nulla molestie et et efficitur. Enim pharetra eros id velit. Dolor volutpat diam eget ultricies auctor. Elit ut sit mollis montes aenean a non at. Netus non, augue amet sapien maximus curae, sed convallis urna vulputate. Turpis tincidunt montes nascetur et curae id nulla nullam? Tempus vel sed a in felis eros, fermentum nascetur varius facilisi. Taciti neque taciti, lacus sapien dolor amet.","Facilisi rhoncus nibh, ipsum sapien donec urna convallis eget. Aptent cursus et, ullamcorper purus ornare mauris. Felis at vitae in velit elit, magnis fringilla. Rhoncus dolor massa nisi urna amet dolor posuere eget sociosqu nullam. Magnis, ut sit felis tincidunt nisl nec libero eu. Sed fermentum egestas id ante bibendum convallis senectus ut ac. Fermentum morbi potenti sem, quis mi ante eu et. Metus malesuada scelerisque et non ut. Nulla a ante dapibus quis eleifend nulla, varius. Purus et aliquet laoreet sapien pellentesque lacus auctor aliquam viverra in blandit felis eu. Sed vestibulum quam amet elementum nisi tortor sem. Quis imperdiet at, vel mollis tristique. Faucibus sem consequat sit, maximus ut. Tempor, adipiscing sociis, aliquam sed feugiat gravida placerat dolor eu amet. Vel vel bibendum, eu quis vulputate sed. Tellus suscipit mi, per gravida sagittis erat eget erat.","Disagree","US;UK;CAN","opt4"
41,"F",47,"Strongly Disagree",NA,"Agree","Never","Rarely","Mauris aliquet sed lorem sit, pellentesque ex imperdiet. Torquent tellus ultricies facilisis nibh consequat dui, sed proin viverra elementum. Per, tortor dis, elit. Arcu non curabitur erat interdum interdum orci est convallis nec conubia eget. Ut donec sit donec consequat sed eget, per nunc sed pellentesque justo pellentesque mauris viverra lobortis. In in diam leo diam, et praesent mauris ac suscipit. Auctor mollis eu turpis duis eu finibus velit nec nec. Dui, cum tempus praesent vel sed convallis justo suspendisse, nulla venenatis, sit. Tincidunt et ullamcorper sem metus praesent erat. Nullam suscipit molestie euismod. Volutpat varius iaculis gravida, aliquam pellentesque. Ut nibh, vestibulum sed luctus. Nibh lorem ac interdum tortor nibh, ante orci. Porttitor porttitor at mi dictum mi, semper primis, non amet fames. Penatibus eget vitae pellentesque ligula et eget nec vehicula imperdiet augue. In ridiculus viverra vitae sed nulla. Semper arcu bibendum at justo, sollicitudin interdum luctus. Vel rhoncus dis amet lectus nascetur.","Sit lorem taciti scelerisque purus elementum velit eu diam. Tortor nec ut curabitur diam fringilla ullamcorper. Sed phasellus adipiscing, sapien sit ac eros. Rutrum non sed nam ac lobortis, porta penatibus scelerisque diam, suscipit. Nam auctor sapien. Elit arcu, consectetur lobortis. In sit aptent nascetur lacus, facilisi in faucibus amet.","A","MEX;UK;US","opt4"
42,"F",51,"Disagree",NA,"Strongly Agree","Never","Rarely","Eu vitae dapibus ut lacinia. Facilisi urna, facilisis urna, orci egestas libero at elit vitae ultrices sapien placerat vehicula aptent. Mauris vitae accumsan pharetra, molestie elementum aenean! Id per himenaeos tellus turpis nec rhoncus porttitor ut, magna vehicula. In neque imperdiet. Commodo hac placerat velit, sem ut mauris ac ac. Nec iaculis mollis ipsum integer in integer pharetra ante erat. Lorem ullamcorper arcu. Erat arcu sed tincidunt praesent ac, blandit sed aliquet, in ad turpis nam. Ac class dignissim venenatis purus, vitae nulla turpis blandit, sapien magna aenean malesuada pharetra. Gravida ipsum tempus magna at, a sed libero. Praesent nulla risus vivamus himenaeos ligula.","Penatibus feugiat vestibulum arcu mauris fusce efficitur sem a ac sed. Lacus fermentum in, vehicula turpis eu porttitor ut luctus fermentum. Eget parturient, molestie adipiscing ut vel aliquam fringilla. Quam dapibus amet donec non consectetur laoreet mauris sodales. Arcu donec molestie faucibus tristique. Non vestibulum ex hac lacus amet et amet proin leo nascetur posuere. Ipsum sed vitae in quisque vulputate augue enim et dui per blandit lorem vestibulum. Urna in purus lacus id leo nisl sed dictum eros cum. Vel venenatis vestibulum mollis semper per euismod magna vel nec.","Strongly Agree","MEX;US","opt2"
43,"F",27,"Strongly Agree",NA,"Disagree","Rarely","Very Often","Phasellus semper ad vulputate vel faucibus vel vel felis ac, erat urna sollicitudin lacinia. Ultrices donec mi est pellentesque sit justo. Mi tempus, phasellus ornare molestie class mauris eu. Sed dignissim nec ultrices ut et mauris. Lacus augue sit odio, lacinia. Diam nullam varius. Ac lobortis magna conubia eu quam vitae.","Ut amet finibus non interdum vitae quis quisque. Ornare purus, mi mauris convallis amet, sed nec, velit eget lobortis blandit. Enim torquent sed imperdiet ullamcorper nisi, nam. Sollicitudin eu, elementum suspendisse nibh libero porttitor duis posuere. Porttitor non turpis, rutrum id dui quam varius metus. Turpis imperdiet sociis diam in egestas, urna habitant amet in vulputate. Quis metus maecenas nostra sed, gravida. Elit ante, consequat senectus facilisi aliquam donec in diam. Risus ac ut in, odio leo proin quisque. Ut risus integer malesuada nisi ac ac mus sed purus. In, consectetur egestas, nulla et venenatis mollis taciti sed aliquam.","Disagree","US","opt2"
44,"F",31,"Neither Agree or Disagree","Strongly Agree","Strongly Agree","Rarely","Rarely","Habitant, vel himenaeos laoreet nulla velit sed nunc. Vitae, dis sollicitudin eu mauris ultricies enim conubia eu duis. Vitae sed, eros sed mauris, sed taciti cum viverra ridiculus vivamus. Inceptos cursus eros taciti at arcu tincidunt nibh pellentesque nec. Lectus orci gravida nunc sed aliquet ullamcorper bibendum amet amet libero fames vel platea. Porta nulla quam lobortis quam ultrices risus magna. Risus lacus conubia, in hendrerit vulputate quis vestibulum vestibulum. A malesuada fermentum vivamus, dapibus eget non a quam porttitor justo. Nisl aptent mollis, vestibulum fusce lacus eu euismod. Posuere curae consequat dolor ipsum urna a venenatis. Ad ipsum at, massa feugiat blandit mi ut. Et maximus dictumst elit viverra volutpat, non dictumst ut. Sed, lacus ex. Risus sapien magna hac nisl, sed ut tempor. Eget dictum aliquet congue in volutpat in aliquet.","Justo felis quisque sed eleifend sit sagittis. Cum suspendisse, vivamus iaculis proin efficitur. Vestibulum, sed auctor amet sodales eleifend. Felis, litora varius sollicitudin dapibus non donec, cras blandit. Dis sed pellentesque sodales. Quisque tempor finibus condimentum, diam, magna ipsum. Neque luctus enim, sed class velit facilisi maecenas conubia lacus ad. Adipiscing egestas sed, nibh amet ut dictum enim vivamus sed ligula ac ut. Sed erat proin pulvinar in placerat et. In hendrerit, non etiam elit vitae in eros amet viverra tellus fusce habitasse et.","Disagree","CAN;US","opt2"
45,"M",28,"Agree","Disagree","Neither Agree or Disagree","Never","Never","At facilisis porttitor tellus sit tortor. Sed ligula purus tortor posuere varius. Eros in, rutrum ut, ut! In, pharetra eget eu varius mollis eu. In eget pellentesque dapibus, mauris in. Lorem proin luctus, habitant torquent nisl. Elementum a duis erat dictum torquent in conubia. Sem leo est ac amet tempor ut, massa non dapibus. Et varius laoreet ut viverra. Cras, libero eu in nulla tellus arcu. Nec felis sit mi, lacinia sagittis fringilla et netus. Eu maecenas, quis congue sed. Placerat cursus tincidunt posuere egestas ut netus mauris nostra.","Dictumst lacinia auctor libero. Sed sit nisi varius nam accumsan dapibus interdum eu et. Ullamcorper egestas tellus in diam auctor. Ac senectus sit mauris vehicula sociis sed eros nibh nec taciti, elementum ut per tellus. Nam torquent litora tristique ut laoreet in. Nam ut, penatibus quis in fusce. Duis erat purus nulla tempor sit. In magna eget magna efficitur mollis. Urna ligula id, mus integer sit, ligula. Molestie, quam sit nec in, sed, at, turpis.","A","MEX;UK;US","opt5"
